Order,ID,Session,Title,Authors,Affiliations,Pages,Filename,DOI,URL,From,To,,,,,,,,,,,,,,,,
1,Article-01,1,A Conversation with CHCCS 2021 Achievement Award Winner Pierre Poulin,Pierre Poulin,Université de Montréal,7,Article-01.pdf,GI2021.01,https://doi.org/10.20380/GI2021.01,1,7,,,,,,,,,,,,,,,,
2,Article-02,1,A Conversation with CHCCS 2021 Achievement Award Winner Tamara Munzner,Tamara Munzner,University of British Columbia,3,Article-02.pdf,GI2021.02,https://doi.org/10.20380/GI2021.02,8,10,,,,,,,,,,,,,,,,
3,Article-03,2,Service-based Analysis and Abstraction for Content Moderation of Digital Images,"Moritz Hilscher, Hendrik Tjabben, Hendrik Rätz, Amir Semmo, Lonni Besançon, Jürgen Döllner, Matthias Trapop ","University of Potsdam, Germany; University of Potsdam, Germany; University of Potsdam, Germany; Digital Masterpieces GmbH; Monash University, Australia; University of Potsdam, Germany; University of Potsdam, Germany",9,Article-03.pdf,GI2021.03,https://doi.org/10.20380/GI2021.03,11,19,,,,,,,,,,,,,,,,
4,Article-04,2,AmbiTeam: Providing Team Awareness Through Ambient Displays,"Sarah Morrison-Smith, Lydia B. Chilton, Jaime Ruiz",Barnard College; Columbia University; University of Florida,8,Article-04.pdf,GI2021.04,https://doi.org/10.20380/GI2021.04,20,27,,,,,,,,,,,,,,,,
5,Article-05,2,MeetingMate: an Ambient Interface for Improved Meeting Effectiveness and Corporate Knowledge Sharing,"Justin Matejka, Tovi Grossman, George Fitzmaurice",Autodesk Research; University of Toronto; Autodesk Research,7,Article-05.pdf,GI2021.05,https://doi.org/10.20380/GI2021.05,28,34,,,,,,,,,,,,,,,,
6,Article-06,2,Challenges in Getting Started in Motion Graphic Design: Perspectives from Casual and Professional Motion Designers,"Amir Jahanlou, William Odom, Parmit Chilana",Simon Fraser University; Simon Fraser University; Simon Fraser University,11,Article-06.pdf,GI2021.06,https://doi.org/10.20380/GI2021.06,35,45,,,,,,,,,,,,,,,,
7,Article-07,2,CoAware: Designing Solutions for Being Aware of a Co-Located PartnerŐs Smartphone Usage Activities,"Khalad Hasan, Debajyoti Mondal, Karanmeet Khatra, David Ahlström, Carman Neustaedter 
","University of British Columbia; University of Saskatchewan; University of British Columbia; University of Klagenfurt, Austria; Simon Fraser University",10,Article-07.pdf,GI2021.07,https://doi.org/10.20380/GI2021.07,46,55,,,,,,,,,,,,,,,,
8,Article-08,3,Exploring Sketch-based Character Design Guided by Automatic Colorization,"Rawan Alghofaili, Matthew Fisher, Richard Zhang, Michal Lukáč, Lap-Fai Yu 
",George Mason University; Adobe Research; Adobe Research; Adobe Research; George Mason University,12,Article-08.pdf,GI2021.08,https://doi.org/10.20380/GI2021.08,56,67,,,,,,,,,,,,,,,,
9,Article-09,3,Artistic Recoloring of Image Oversegmentations,"Rosa Azami, David Mould",Carleton University; Carleton University,9,Article-09.pdf,GI2021.09,https://doi.org/10.20380/GI2021.09,68,76,,,,,,,,,,,,,,,,
10,Article-10,3,FoldMold: Automating Papercraft for Fast DIY Casting of Scalable Curved Shapes,"Hanieh Shakeri, Hannah Elbaggari, Paul Bucci, Robert Xiao, Karon E. MacLean",University of British Columbia; University of British Columbia; University of British Columbia; University of British Columbia; University of British Columbia,10,Article-10.pdf,GI2021.10,https://doi.org/10.20380/GI2021.10,77,86,,,,,,,,,,,,,,,,
